EPISODE	TIME_STEP_TOTAL	REWARD_TOTAL
1287	41	41.0
1288	31	31.0
1289	36	36.0
1290	30	30.0
1291	39	39.0
1292	111	111.0
1293	48	48.0
1294	18	18.0
1295	118	118.0
1296	33	33.0
1297	108	108.0
1298	107	107.0
1299	123	123.0
1300	52	52.0
1301	103	103.0
1302	40	40.0
1303	52	52.0
1304	48	48.0
1305	117	117.0
1306	98	98.0
1307	55	55.0
1308	118	118.0
1309	109	109.0
1310	109	109.0
1311	118	118.0
1312	34	34.0
1313	122	122.0
1314	48	48.0
1315	58	58.0
1316	115	115.0
1317	132	132.0
1318	108	108.0
1319	146	146.0
1320	125	125.0
1321	129	129.0
1322	115	115.0
1323	144	144.0
1324	116	116.0
1325	200	200.0
1326	200	200.0
1327	114	114.0
1328	200	200.0
1329	200	200.0
1330	200	200.0
1331	200	200.0
1332	200	200.0
1333	200	200.0
1334	96	96.0
1335	101	101.0
1336	200	200.0
1337	200	200.0
1338	200	200.0
1339	200	200.0
1340	200	200.0
1341	123	123.0
1342	156	156.0
1343	200	200.0
1344	200	200.0
1345	120	120.0
1346	119	119.0
1347	200	200.0
1348	128	128.0
1349	200	200.0
1350	200	200.0
1351	106	106.0
1352	200	200.0
1353	122	122.0
1354	53	53.0
1355	100	100.0
1356	97	97.0
1357	200	200.0
1358	176	176.0
1359	143	143.0
1360	200	200.0
1361	108	108.0
1362	200	200.0
1363	84	84.0
1364	87	87.0
1365	200	200.0
1366	103	103.0
1367	200	200.0
1368	200	200.0
1369	94	94.0
1370	200	200.0
1371	170	170.0
1372	85	85.0
1373	110	110.0
1374	105	105.0
1375	200	200.0
1376	105	105.0
1377	38	38.0
1378	107	107.0
1379	185	185.0
1380	105	105.0
1381	117	117.0
1382	107	107.0
1383	105	105.0
1384	108	108.0
1385	108	108.0
1386	102	102.0
1387	113	113.0
1388	108	108.0
1389	43	43.0
1390	40	40.0
1391	27	27.0
1392	118	118.0
1393	109	109.0
1394	200	200.0
1395	105	105.0
1396	99	99.0
1397	49	49.0
1398	114	114.0
1399	73	73.0
1400	139	139.0
1401	110	110.0
1402	111	111.0
1403	200	200.0
1404	32	32.0
1405	56	56.0
1406	114	114.0
1407	128	128.0
1408	118	118.0
1409	96	96.0
1410	128	128.0
1411	120	120.0
1412	117	117.0
1413	128	128.0
1414	100	100.0
1415	120	120.0
1416	120	120.0
1417	200	200.0
1418	129	129.0
1419	107	107.0
1420	126	126.0
1421	42	42.0
1422	122	122.0
1423	124	124.0
1424	110	110.0
1425	129	129.0
1426	110	110.0
1427	27	27.0
