EPISODE	TIME_STEP_TOTAL	REWARD_TOTAL
970	52	52.0
971	200	200.0
972	200	200.0
973	175	175.0
974	200	200.0
975	200	200.0
976	200	200.0
977	171	171.0
978	191	191.0
979	189	189.0
980	189	189.0
981	200	200.0
982	200	200.0
983	200	200.0
984	200	200.0
985	200	200.0
986	200	200.0
987	200	200.0
988	200	200.0
989	200	200.0
990	200	200.0
991	200	200.0
992	200	200.0
993	200	200.0
994	200	200.0
995	200	200.0
996	200	200.0
997	200	200.0
998	200	200.0
999	200	200.0
1000	200	200.0
1001	200	200.0
1002	200	200.0
1003	200	200.0
1004	200	200.0
1005	195	195.0
1006	200	200.0
1007	200	200.0
1008	200	200.0
1009	200	200.0
1010	200	200.0
1011	200	200.0
1012	200	200.0
1013	200	200.0
1014	200	200.0
1015	200	200.0
1016	200	200.0
1017	200	200.0
1018	200	200.0
1019	200	200.0
1020	200	200.0
1021	200	200.0
1022	200	200.0
1023	200	200.0
1024	200	200.0
1025	200	200.0
1026	18	18.0
1027	95	95.0
1028	157	157.0
1029	170	170.0
1030	20	20.0
1031	12	12.0
1032	13	13.0
1033	16	16.0
1034	11	11.0
1035	36	36.0
1036	123	123.0
1037	18	18.0
1038	193	193.0
1039	200	200.0
1040	200	200.0
1041	200	200.0
1042	200	200.0
1043	200	200.0
1044	200	200.0
1045	200	200.0
1046	13	13.0
1047	200	200.0
1048	200	200.0
1049	200	200.0
1050	200	200.0
1051	200	200.0
1052	23	23.0
1053	18	18.0
1054	200	200.0
1055	200	200.0
1056	200	200.0
1057	200	200.0
1058	200	200.0
1059	200	200.0
1060	200	200.0
1061	165	165.0
1062	200	200.0
1063	186	186.0
1064	145	145.0
1065	151	151.0
1066	144	144.0
1067	143	143.0
1068	130	130.0
1069	144	144.0
1070	139	139.0
1071	144	144.0
1072	151	151.0
1073	159	159.0
1074	153	153.0
1075	178	178.0
1076	196	196.0
1077	198	198.0
1078	200	200.0
1079	200	200.0
1080	200	200.0
1081	200	200.0
1082	196	196.0
1083	190	190.0
1084	200	200.0
1085	200	200.0
1086	200	200.0
1087	200	200.0
1088	200	200.0
1089	200	200.0
1090	200	200.0
1091	200	200.0
1092	200	200.0
1093	200	200.0
1094	200	200.0
1095	200	200.0
1096	200	200.0
1097	200	200.0
1098	200	200.0
1099	200	200.0
1100	200	200.0
1101	200	200.0
1102	97	97.0
1103	24	24.0
1104	10	10.0
1105	13	13.0
1106	11	11.0
1107	12	12.0
1108	9	9.0
1109	13	13.0
1110	9	9.0
1111	24	24.0
1112	44	44.0
1113	200	200.0
1114	25	25.0
1115	126	126.0
1116	11	11.0
1117	16	16.0
1118	19	19.0
1119	159	159.0
1120	200	200.0
1121	200	200.0
1122	200	200.0
1123	200	200.0
1124	200	200.0
1125	200	200.0
1126	182	182.0
1127	200	200.0
1128	200	200.0
1129	200	200.0
1130	200	200.0
1131	200	200.0
1132	200	200.0
1133	200	200.0
1134	185	185.0
1135	191	191.0
1136	200	200.0
1137	200	200.0
1138	200	200.0
1139	200	200.0
1140	200	200.0
1141	200	200.0
1142	200	200.0
1143	200	200.0
1144	200	200.0
1145	200	200.0
1146	200	200.0
1147	200	200.0
1148	200	200.0
1149	200	200.0
1150	200	200.0
1151	200	200.0
1152	200	200.0
1153	200	200.0
1154	200	200.0
1155	200	200.0
1156	200	200.0
1157	200	200.0
1158	200	200.0
1159	200	200.0
1160	200	200.0
1161	200	200.0
1162	200	200.0
1163	200	200.0
1164	200	200.0
1165	200	200.0
1166	136	136.0
1167	38	38.0
1168	10	10.0
1169	12	12.0
1170	9	9.0
1171	13	13.0
1172	21	21.0
1173	14	14.0
1174	61	61.0
1175	14	14.0
1176	13	13.0
1177	15	15.0
1178	11	11.0
1179	15	15.0
1180	77	77.0
1181	20	20.0
1182	164	164.0
1183	200	200.0
1184	200	200.0
1185	200	200.0
1186	200	200.0
1187	200	200.0
1188	186	186.0
1189	159	159.0
1190	174	174.0
1191	190	190.0
1192	155	155.0
1193	156	156.0
1194	132	132.0
1195	154	154.0
1196	147	147.0
1197	141	141.0
1198	164	164.0
1199	162	162.0
1200	139	139.0
1201	156	156.0
1202	115	115.0
1203	187	187.0
1204	184	184.0
1205	141	141.0
1206	148	148.0
1207	123	123.0
1208	131	131.0
1209	156	156.0
1210	140	140.0
1211	149	149.0
1212	161	161.0
1213	160	160.0
1214	137	137.0
1215	183	183.0
1216	193	193.0
1217	188	188.0
1218	200	200.0
1219	200	200.0
1220	200	200.0
1221	200	200.0
1222	200	200.0
1223	200	200.0
1224	200	200.0
1225	200	200.0
1226	200	200.0
1227	160	160.0
1228	163	163.0
1229	196	196.0
1230	200	200.0
1231	134	134.0
1232	200	200.0
1233	200	200.0
1234	200	200.0
1235	200	200.0
1236	200	200.0
1237	200	200.0
1238	200	200.0
1239	200	200.0
1240	200	200.0
1241	200	200.0
1242	200	200.0
1243	200	200.0
1244	200	200.0
1245	200	200.0
1246	200	200.0
1247	200	200.0
1248	200	200.0
1249	200	200.0
1250	200	200.0
1251	200	200.0
1252	200	200.0
1253	200	200.0
1254	200	200.0
1255	200	200.0
1256	200	200.0
1257	11	11.0
1258	11	11.0
1259	200	200.0
1260	200	200.0
1261	200	200.0
1262	200	200.0
1263	200	200.0
1264	200	200.0
1265	200	200.0
1266	200	200.0
1267	46	46.0
1268	200	200.0
1269	200	200.0
1270	200	200.0
1271	179	179.0
1272	200	200.0
1273	200	200.0
1274	200	200.0
1275	200	200.0
1276	200	200.0
1277	200	200.0
1278	200	200.0
1279	200	200.0
1280	200	200.0
1281	71	71.0
1282	200	200.0
1283	200	200.0
1284	146	146.0
1285	143	143.0
1286	133	133.0
1287	131	131.0
1288	131	131.0
1289	152	152.0
1290	140	140.0
1291	144	144.0
1292	148	148.0
1293	145	145.0
1294	141	141.0
1295	172	172.0
1296	166	166.0
1297	184	184.0
1298	166	166.0
1299	183	183.0
1300	171	171.0
1301	163	163.0
1302	191	191.0
1303	200	200.0
1304	163	163.0
1305	181	181.0
1306	158	158.0
1307	200	200.0
1308	191	191.0
1309	193	193.0
1310	177	177.0
1311	200	200.0
1312	200	200.0
1313	175	175.0
1314	189	189.0
1315	200	200.0
1316	187	187.0
1317	200	200.0
1318	200	200.0
1319	166	166.0
1320	151	151.0
1321	200	200.0
1322	200	200.0
1323	200	200.0
1324	200	200.0
1325	193	193.0
1326	71	71.0
1327	142	142.0
1328	129	129.0
1329	124	124.0
1330	148	148.0
1331	147	147.0
1332	125	125.0
1333	141	141.0
1334	147	147.0
1335	82	82.0
1336	101	101.0
1337	140	140.0
1338	132	132.0
1339	116	116.0
1340	150	150.0
1341	40	40.0
1342	94	94.0
1343	78	78.0
1344	151	151.0
1345	155	155.0
1346	149	149.0
1347	162	162.0
1348	119	119.0
1349	85	85.0
1350	169	169.0
1351	173	173.0
1352	127	127.0
1353	121	121.0
1354	116	116.0
1355	123	123.0
1356	176	176.0
1357	102	102.0
1358	135	135.0
1359	169	169.0
1360	107	107.0
1361	63	63.0
1362	131	131.0
1363	196	196.0
1364	147	147.0
1365	174	174.0
1366	132	132.0
1367	138	138.0
1368	122	122.0
1369	122	122.0
1370	167	167.0
1371	200	200.0
1372	200	200.0
1373	175	175.0
1374	149	149.0
1375	162	162.0
1376	146	146.0
1377	178	178.0
1378	149	149.0
1379	186	186.0
1380	200	200.0
1381	200	200.0
1382	188	188.0
1383	121	121.0
1384	133	133.0
1385	103	103.0
1386	102	102.0
1387	169	169.0
1388	91	91.0
1389	121	121.0
1390	125	125.0
1391	98	98.0
1392	173	173.0
1393	125	125.0
1394	120	120.0
1395	162	162.0
1396	133	133.0
1397	111	111.0
1398	90	90.0
1399	171	171.0
1400	173	173.0
1401	104	104.0
1402	151	151.0
1403	100	100.0
1404	93	93.0
1405	117	117.0
1406	99	99.0
1407	86	86.0
1408	100	100.0
1409	98	98.0
1410	122	122.0
1411	138	138.0
1412	151	151.0
1413	169	169.0
1414	200	200.0
1415	200	200.0
1416	200	200.0
1417	128	128.0
1418	147	147.0
1419	145	145.0
1420	200	200.0
1421	194	194.0
1422	83	83.0
1423	200	200.0
1424	132	132.0
1425	147	147.0
1426	139	139.0
1427	140	140.0
1428	146	146.0
1429	200	200.0
1430	200	200.0
1431	200	200.0
1432	200	200.0
1433	200	200.0
1434	159	159.0
1435	193	193.0
1436	200	200.0
1437	200	200.0
1438	200	200.0
1439	200	200.0
1440	200	200.0
1441	200	200.0
1442	200	200.0
1443	200	200.0
1444	200	200.0
1445	200	200.0
1446	200	200.0
1447	200	200.0
1448	200	200.0
1449	200	200.0
1450	200	200.0
1451	138	138.0
1452	100	100.0
1453	200	200.0
1454	200	200.0
1455	200	200.0
1456	200	200.0
1457	200	200.0
1458	200	200.0
1459	200	200.0
1460	200	200.0
1461	200	200.0
1462	200	200.0
1463	200	200.0
1464	169	169.0
1465	174	174.0
1466	176	176.0
1467	164	164.0
1468	147	147.0
1469	146	146.0
1470	160	160.0
1471	145	145.0
1472	157	157.0
1473	163	163.0
1474	157	157.0
1475	186	186.0
1476	174	174.0
1477	178	178.0
1478	198	198.0
1479	174	174.0
1480	190	190.0
1481	200	200.0
1482	200	200.0
1483	176	176.0
1484	200	200.0
1485	200	200.0
1486	200	200.0
1487	200	200.0
1488	200	200.0
1489	200	200.0
1490	200	200.0
1491	199	199.0
1492	179	179.0
1493	200	200.0
1494	178	178.0
