TIME_STEP	STAGE	EPSILON	ACTION	REWARD	Qs_PREDICTED_EXAMPLE	Qs_TARGET_EXAMPLE	Loss
81500	TRAINING	0.000100000000002	1	1.0	[ 20.1950798   19.98108101]	[ 20.46198273  19.98108101]	0.547076
82000	TRAINING	0.000100000000002	0	1.0	[ 12.77898026  12.50933647]	[ 12.63699083  12.50933647]	0.0197084
82500	TRAINING	0.000100000000002	1	1.0	[ 20.48534012  19.83857918]	[ 20.47877979  19.83857918]	2.82509
83000	TRAINING	0.000100000000002	1	1.0	[ 23.7774334   23.16287422]	[ 23.4695055   23.16287422]	0.212103
83500	TRAINING	0.000100000000002	1	1.0	[ 19.33478737  19.95974731]	[ 19.9915      19.95974731]	0.977486
84000	TRAINING	0.000100000000002	1	1.0	[ 20.1103363   21.70388031]	[ 20.1103363   21.78311634]	0.0528447
84500	TRAINING	0.000100000000002	0	1.0	[ 22.11871147  21.93198395]	[ 22.00236969  21.93198395]	0.0483962
85000	TRAINING	0.000100000000002	1	1.0	[ 21.12040138  21.31036568]	[ 21.11305475  21.31036568]	0.0351941
85500	TRAINING	0.000100000000002	0	1.0	[ 18.716465    18.51353645]	[ 18.72004366  18.51353645]	0.0513646
86000	TRAINING	0.000100000000002	1	1.0	[ 20.60730934  21.2437973 ]	[ 20.60730934  21.45444107]	2.33716
86500	TRAINING	0.000100000000002	1	1.0	[ 20.52509499  20.1354847 ]	[ 20.67411137  20.1354847 ]	1.66619
87000	TRAINING	0.000100000000002	0	1.0	[ 21.94922256  22.5835247 ]	[ 21.94922256  22.55071325]	0.0503929
87500	TRAINING	0.000100000000002	0	1.0	[ 20.77713394  19.53133583]	[ 20.90170708  19.53133583]	0.406292
88000	TRAINING	0.000100000000002	0	1.0	[ 18.86142731  18.66099548]	[ 18.86142731  19.89904366]	0.986592
88500	TRAINING	0.000100000000002	1	1.0	[ 17.67933846  19.45777893]	[ 17.67933846  20.33519115]	0.803214
89000	TRAINING	0.000100000000002	0	1.0	[ 13.3678112   13.40796375]	[ 13.95654531  13.40796375]	1.46785
89500	TRAINING	0.000100000000002	0	1.0	[ 20.20013046  19.83953667]	[ 20.28165255  19.83953667]	1.4202
90000	TRAINING	0.000100000000002	1	1.0	[ 20.92759895  20.50433159]	[ 20.92759895  21.09871473]	2.15596
90500	TRAINING	0.000100000000002	1	1.0	[ 20.36296844  20.14044952]	[ 20.3351223   20.14044952]	2.15206
91000	TRAINING	0.000100000000002	1	1.0	[ 21.31393242  21.82181549]	[ 21.31393242  21.88173523]	2.35649
91500	TRAINING	0.000100000000002	0	1.0	[ 20.41095924  19.68353462]	[ 20.49036379  19.68353462]	0.11847
92000	TRAINING	0.000100000000002	0	1.0	[ 23.45996857  19.95597267]	[ 25.36751776  19.95597267]	0.973712
92500	TRAINING	0.000100000000002	1	1.0	[ 21.79802322  21.90371513]	[ 22.0063035   21.90371513]	0.957598
93000	TRAINING	0.000100000000002	1	1.0	[ 18.98337364  18.93045235]	[ 18.98337364  19.09988203]	0.105483
93500	TRAINING	0.000100000000002	1	1.0	[ 21.36820984  21.55491829]	[ 21.15631399  21.55491829]	0.0629151
94000	TRAINING	0.000100000000002	1	1.0	[ 18.63198662  18.60152245]	[ 18.63198662  18.47417049]	0.0567253
94500	TRAINING	0.000100000000002	0	1.0	[ 19.85856628  19.71621704]	[ 19.97977829  19.71621704]	0.292419
95000	TRAINING	0.000100000000002	1	1.0	[ 21.12104988  20.72562599]	[ 21.29249344  20.72562599]	0.0677077
95500	TRAINING	0.000100000000002	1	1.0	[ 20.41612244  20.56631088]	[ 20.41612244  20.52600546]	0.055373
96000	TRAINING	0.000100000000002	1	1.0	[ 20.98942184  20.36389542]	[ 20.69157887  20.36389542]	0.0256253
96500	TRAINING	0.000100000000002	0	1.0	[ 19.35264969  18.79597092]	[ 19.35264969  18.67806187]	0.804373
97000	TRAINING	0.000100000000002	0	1.0	[ 20.23311996  20.99679565]	[ 20.23311996  20.97216778]	0.359832
97500	TRAINING	0.000100000000002	1	1.0	[ 21.2977066  21.1983757]	[ 21.2977066   20.99319401]	0.841567
98000	TRAINING	0.000100000000002	0	1.0	[ 22.7022934   22.15338135]	[ 22.14232531  22.15338135]	0.989506
98500	TRAINING	0.000100000000002	0	1.0	[ 21.6274128   22.07584572]	[ 21.48042307  22.07584572]	0.930328
99000	TRAINING	0.000100000000002	1	1.0	[ 18.40255737  17.1030426 ]	[ 18.48441906  17.1030426 ]	0.043284
99500	TRAINING	0.000100000000002	0	1.0	[ 20.84925461  21.02141953]	[ 20.84925461  20.75282021]	1.9435
100000	TRAINING	0.000100000000002	1	1.0	[ 21.73605156  21.42970848]	[ 21.55263414  21.42970848]	1.6948
100500	TRAINING	0.000100000000002	1	1.0	[ 16.70599556  18.07009888]	[ 16.70599556  18.06203899]	2.24981
101000	TRAINING	0.000100000000002	1	1.0	[ 17.41117477  16.29085541]	[ 17.30857372  16.29085541]	0.988969
101500	TRAINING	0.000100000000002	0	1.0	[ 21.05390549  21.22054672]	[ 21.05390549  21.11971741]	0.0277926
102000	TRAINING	0.000100000000002	1	1.0	[ 19.86299896  19.63711929]	[ 19.83122845  19.63711929]	1.08178
102500	TRAINING	0.000100000000002	0	1.0	[ 23.51686478  23.52179527]	[ 23.51686478  23.40867548]	1.58842
103000	TRAINING	0.000100000000002	1	1.0	[ 25.90800667  25.26548576]	[ 24.8887434   25.26548576]	0.243361
103500	TRAINING	0.000100000000002	1	1.0	[ 44.13574982  40.60037613]	[ 44.4494936   40.60037613]	0.433525
104000	TRAINING	0.000100000000002	1	1.0	[ 20.80892944  21.46002388]	[ 20.80892944  21.38773842]	1.90893
104500	TRAINING	0.000100000000002	0	1.0	[ 21.61964798  21.80016708]	[ 21.61964798  21.31327868]	0.440266
105000	TRAINING	0.000100000000002	1	1.0	[ 21.38027191  21.12482262]	[ 21.38027191  21.36961861]	0.308852
105500	TRAINING	0.000100000000002	1	1.0	[ 19.4965992   19.55405045]	[ 19.46942835  19.55405045]	0.0507706
106000	TRAINING	0.000100000000002	0	1.0	[ 11.99237347  12.6442337 ]	[ 11.99237347  12.5907228 ]	0.261914
106500	TRAINING	0.000100000000002	0	1.0	[ 21.3277092   20.96849251]	[ 21.31775608  20.96849251]	0.544147
107000	TRAINING	0.000100000000002	1	1.0	[ 13.76795292  14.90346432]	[ 13.76795292  15.06532469]	0.51877
107500	TRAINING	0.000100000000002	0	1.0	[ 19.92658615  19.76535416]	[ 19.92658615  20.14790115]	0.19344
108000	TRAINING	0.000100000000002	0	1.0	[ 16.3857708   16.03305626]	[ 16.3857708  16.2315321]	0.0721216
108500	TRAINING	0.000100000000002	1	1.0	[ 5.58655739  5.81716442]	[ 5.58655739  6.18010273]	1.34174
109000	TRAINING	0.000100000000002	0	1.0	[ 24.04333305  25.41646385]	[ 24.04333305  25.11602201]	2.83319
109500	TRAINING	0.000100000000002	0	1.0	[ 24.32414246  25.17532158]	[ 24.91716795  25.17532158]	0.0779562
110000	TRAINING	0.000100000000002	0	1.0	[ 17.98980904  18.2300396 ]	[ 17.98980904  17.81393166]	0.0580539
110500	TRAINING	0.000100000000002	1	1.0	[ 23.08426476  21.86429024]	[ 23.08426476  22.79114866]	0.06954
111000	TRAINING	0.000100000000002	0	1.0	[ 18.49568176  18.27789879]	[ 18.42972441  18.27789879]	0.523394
111500	TRAINING	0.000100000000002	0	1.0	[ 20.79475021  21.35745621]	[ 20.79475021  21.25356121]	0.0389582
