EPISODE	TIME_STEPS_TAKEN	TOTAL_REWARD
910	121.0	121
911	123.0	123
912	151.0	151
913	139.0	139
914	144.0	144
915	135.0	135
916	151.0	151
917	132.0	132
918	178.0	178
919	142.0	142
920	196.0	196
921	200.0	200
922	142.0	142
923	142.0	142
924	165.0	165
925	192.0	192
926	189.0	189
927	186.0	186
928	169.0	169
929	179.0	179
930	200.0	200
931	189.0	189
932	196.0	196
933	131.0	131
934	192.0	192
935	179.0	179
936	182.0	182
937	180.0	180
938	184.0	184
939	180.0	180
940	200.0	200
941	200.0	200
942	200.0	200
943	200.0	200
944	167.0	167
945	162.0	162
946	179.0	179
947	192.0	192
948	179.0	179
949	166.0	166
950	188.0	188
951	177.0	177
952	190.0	190
953	200.0	200
954	151.0	151
955	168.0	168
956	171.0	171
957	167.0	167
958	157.0	157
959	160.0	160
960	183.0	183
961	157.0	157
962	155.0	155
963	160.0	160
964	160.0	160
965	158.0	158
966	62.0	62
967	66.0	66
968	156.0	156
969	176.0	176
970	184.0	184
971	97.0	97
972	98.0	98
973	16.0	16
974	200.0	200
975	200.0	200
976	181.0	181
977	103.0	103
978	200.0	200
979	200.0	200
980	200.0	200
981	200.0	200
982	200.0	200
983	200.0	200
984	200.0	200
985	200.0	200
986	200.0	200
987	200.0	200
988	200.0	200
989	200.0	200
990	200.0	200
991	200.0	200
992	200.0	200
993	200.0	200
994	200.0	200
995	200.0	200
996	200.0	200
997	200.0	200
998	200.0	200
999	200.0	200
1000	200.0	200
1001	200.0	200
1002	200.0	200
1003	200.0	200
1004	200.0	200
1005	200.0	200
1006	200.0	200
1007	200.0	200
1008	200.0	200
1009	200.0	200
1010	18.0	18
1011	200.0	200
1012	200.0	200
1013	200.0	200
1014	200.0	200
1015	200.0	200
1016	200.0	200
1017	200.0	200
1018	200.0	200
1019	200.0	200
1020	200.0	200
1021	178.0	178
1022	200.0	200
1023	200.0	200
1024	200.0	200
1025	200.0	200
1026	200.0	200
1027	200.0	200
1028	200.0	200
1029	200.0	200
1030	200.0	200
1031	200.0	200
1032	172.0	172
1033	200.0	200
1034	200.0	200
1035	200.0	200
1036	200.0	200
1037	200.0	200
1038	191.0	191
1039	157.0	157
1040	122.0	122
1041	195.0	195
1042	167.0	167
1043	124.0	124
1044	200.0	200
1045	188.0	188
1046	155.0	155
1047	143.0	143
1048	135.0	135
1049	142.0	142
1050	190.0	190
1051	160.0	160
1052	167.0	167
1053	167.0	167
1054	155.0	155
1055	146.0	146
1056	144.0	144
1057	200.0	200
