EPISODE	TIME_STEPS_TAKEN	TOTAL_REWARD
1578	8.0	8
1579	9.0	9
1580	10.0	10
1581	9.0	9
1582	9.0	9
1583	9.0	9
1584	10.0	10
1585	9.0	9
1586	8.0	8
1587	9.0	9
1588	9.0	9
1589	8.0	8
1590	9.0	9
1591	9.0	9
1592	8.0	8
1593	10.0	10
1594	9.0	9
1595	10.0	10
1596	10.0	10
1597	9.0	9
1598	9.0	9
1599	9.0	9
1600	10.0	10
1601	10.0	10
1602	10.0	10
1603	9.0	9
1604	10.0	10
1605	11.0	11
1606	9.0	9
1607	9.0	9
1608	10.0	10
1609	10.0	10
1610	8.0	8
1611	10.0	10
1612	9.0	9
1613	9.0	9
1614	9.0	9
1615	10.0	10
1616	8.0	8
1617	11.0	11
1618	9.0	9
1619	10.0	10
1620	10.0	10
1621	10.0	10
1622	10.0	10
1623	9.0	9
1624	10.0	10
1625	10.0	10
1626	9.0	9
1627	10.0	10
1628	8.0	8
1629	9.0	9
1630	9.0	9
1631	8.0	8
1632	10.0	10
1633	10.0	10
1634	9.0	9
1635	10.0	10
1636	10.0	10
1637	10.0	10
1638	9.0	9
1639	9.0	9
1640	9.0	9
1641	8.0	8
1642	8.0	8
1643	10.0	10
1644	10.0	10
1645	9.0	9
1646	9.0	9
1647	10.0	10
1648	10.0	10
1649	10.0	10
1650	9.0	9
1651	10.0	10
